Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:30:46)
Fra:14 Mem:81.14M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Area
Fra:14 Mem:81.14M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sun
Fra:14 Mem:81.14M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay
Fra:14 Mem:81.14M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Glazed bay.002
Fra:14 Mem:81.28M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion
Fra:14 Mem:81.28M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.001
Fra:14 Mem:81.28M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.003
Fra:14 Mem:81.29M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.004
Fra:14 Mem:81.29M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Horizontal mullion.006
Fra:14 Mem:81.30M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion
Fra:14 Mem:81.30M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.001
Fra:14 Mem:81.31M (Peak 86.08M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Vertical mullion.002
