,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-21T18:22:38.771+09:00, 0.399E+00,   0.39916, 0.48113E+01
       2,2026-09-21T18:22:38.832+09:00, 0.399E+00,   0.79832, 0.49282E+01
       3,2026-09-21T18:22:38.913+09:00, 0.399E+00,   1.19749, 0.50869E+01
       4,2026-09-21T18:22:38.969+09:00, 0.399E+00,   1.59665, 0.51978E+01
       5,2026-09-21T18:22:39.036+09:00, 0.399E+00,   1.99581, 0.53295E+01
       6,2026-09-21T18:22:39.135+09:00, 0.399E+00,   2.39497, 0.55127E+01
       7,2026-09-21T18:22:39.216+09:00, 0.145E-01,   2.40946, 0.56727E+01
       8,2026-09-21T18:22:39.274+09:00, 0.159E-01,   2.42540, 0.57861E+01
       9,2026-09-21T18:22:39.359+09:00, 0.175E-01,   2.44292, 0.59513E+01
      10,2026-09-21T18:22:39.416+09:00, 0.193E-01,   2.46220, 0.60649E+01
      20,2026-09-21T18:22:40.246+09:00, 0.500E-01,   2.80022, 0.76053E+01
      30,2026-09-21T18:22:41.625+09:00, 0.130E+00,   3.67696, 0.99520E+01
      40,2026-09-21T18:22:43.079+09:00, 0.830E-01,   4.65611, 0.12379E+02
      50,2026-09-21T18:22:44.486+09:00, 0.100E+00,   5.52958, 0.14771E+02
      60,2026-09-21T18:22:46.223+09:00, 0.111E+00,   6.62466, 0.17467E+02
      70,2026-09-21T18:22:47.930+09:00, 0.992E-01,   7.69581, 0.20160E+02
      80,2026-09-21T18:22:49.302+09:00, 0.992E-01,   8.68770, 0.22550E+02
      90,2026-09-21T18:22:50.781+09:00, 0.992E-01,   9.67959, 0.25106E+02
     100,2026-09-21T18:22:53.010+09:00, 0.992E-01,  10.67148, 0.27808E+02
     200,2026-09-21T18:23:08.394+09:00, 0.859E-01,  20.40453, 0.52343E+02
     300,2026-09-21T18:23:22.492+09:00, 0.945E-01,  29.83796, 0.76576E+02
     400,2026-09-21T18:23:37.767+09:00, 0.824E-01,  38.84384, 0.10244E+03
     500,2026-09-21T18:23:57.532+09:00, 0.856E-01,  47.62510, 0.13279E+03
     600,2026-09-21T18:24:18.183+09:00, 0.952E-01,  56.35497, 0.16507E+03
     700,2026-09-21T18:24:37.901+09:00, 0.835E-01,  65.81601, 0.19680E+03
     800,2026-09-21T18:24:56.795+09:00, 0.827E-01,  74.70540, 0.22753E+03
     900,2026-09-21T18:25:16.191+09:00, 0.915E-01,  83.53101, 0.25861E+03
    1000,2026-09-21T18:25:31.926+09:00, 0.890E-01,  92.83285, 0.28548E+03
    1100,2026-09-21T18:25:48.252+09:00, 0.936E-01, 101.76689, 0.31297E+03
    1200,2026-09-21T18:26:04.025+09:00, 0.964E-01, 110.64964, 0.34059E+03
    1300,2026-09-21T18:26:21.182+09:00, 0.811E-01, 119.34714, 0.37002E+03
    1400,2026-09-21T18:26:41.750+09:00, 0.909E-01, 128.16802, 0.40338E+03
    1500,2026-09-21T18:27:03.024+09:00, 0.890E-01, 137.27183, 0.43803E+03
    1600,2026-09-21T18:27:29.719+09:00, 0.890E-01, 146.43931, 0.47814E+03
    1700,2026-09-21T18:27:59.803+09:00, 0.878E-01, 155.38828, 0.51851E+03
    1800,2026-09-21T18:28:26.810+09:00, 0.850E-01, 164.24558, 0.56000E+03
    1900,2026-09-21T18:28:52.604+09:00, 0.924E-01, 173.11376, 0.60200E+03
    2000,2026-09-21T18:29:16.742+09:00, 0.915E-01, 182.16741, 0.64273E+03
    2100,2026-09-21T18:29:36.987+09:00, 0.848E-01, 191.48668, 0.67498E+03
    2200,2026-09-21T18:29:49.201+09:00, 0.921E-01, 200.09912, 0.69803E+03
    2300,2026-09-21T18:30:00.642+09:00, 0.104E+00, 209.46715, 0.71984E+03
    2400,2026-09-21T18:30:12.024+09:00, 0.948E-01, 218.85974, 0.74132E+03
    2500,2026-09-21T18:30:23.514+09:00, 0.931E-01, 227.51693, 0.76243E+03
    2600,2026-09-21T18:30:34.508+09:00, 0.934E-01, 236.60235, 0.78336E+03
    2700,2026-09-21T18:30:46.905+09:00, 0.879E-01, 245.69209, 0.80622E+03
    2800,2026-09-21T18:30:58.420+09:00, 0.105E+00, 255.06689, 0.82787E+03
    2900,2026-09-21T18:31:10.383+09:00, 0.889E-01, 264.51205, 0.84966E+03
    3000,2026-09-21T18:31:23.171+09:00, 0.102E+00, 273.93590, 0.87065E+03
    3100,2026-09-21T18:31:30.926+09:00, 0.954E-01, 283.55640, 0.88526E+03
    3200,2026-09-21T18:31:38.303+09:00, 0.914E-01, 292.94337, 0.89927E+03
    3300,2026-09-21T18:31:46.066+09:00, 0.931E-01, 302.28222, 0.91371E+03
    3400,2026-09-21T18:31:53.515+09:00, 0.104E+00, 311.70861, 0.92777E+03
    3500,2026-09-21T18:32:00.865+09:00, 0.841E-01, 321.05930, 0.94166E+03
    3600,2026-09-21T18:32:09.222+09:00, 0.953E-01, 330.18305, 0.95608E+03
    3700,2026-09-21T18:32:18.260+09:00, 0.989E-01, 339.52933, 0.97196E+03
    3800,2026-09-21T18:32:26.445+09:00, 0.107E+00, 349.12300, 0.98711E+03
    3900,2026-09-21T18:32:33.890+09:00, 0.909E-01, 358.83231, 0.10011E+04
    4000,2026-09-21T18:32:43.393+09:00, 0.966E-01, 368.40547, 0.10172E+04
    4100,2026-09-21T18:32:52.663+09:00, 0.993E-01, 377.79567, 0.10331E+04
    4200,2026-09-21T18:33:00.385+09:00, 0.872E-01, 386.85303, 0.10474E+04
    4300,2026-09-21T18:33:08.364+09:00, 0.889E-01, 395.74719, 0.10619E+04
    4400,2026-09-21T18:33:15.898+09:00, 0.106E+00, 405.30249, 0.10759E+04
    4500,2026-09-21T18:33:23.685+09:00, 0.853E-01, 414.38372, 0.10903E+04
    4600,2026-09-21T18:33:31.791+09:00, 0.914E-01, 424.00678, 0.11047E+04
    4700,2026-09-21T18:33:38.939+09:00, 0.817E-01, 433.55714, 0.11183E+04
    4800,2026-09-21T18:33:47.542+09:00, 0.102E+00, 443.51053, 0.11333E+04
    4900,2026-09-21T18:33:54.767+09:00, 0.932E-01, 452.95178, 0.11469E+04
    5000,2026-09-21T18:34:03.073+09:00, 0.994E-01, 462.34654, 0.11619E+04
    5100,2026-09-21T18:34:10.649+09:00, 0.917E-01, 471.39665, 0.11758E+04
    5200,2026-09-21T18:34:18.264+09:00, 0.889E-01, 480.34608, 0.11900E+04
    5300,2026-09-21T18:34:25.580+09:00, 0.100E+00, 489.33076, 0.12038E+04
    5400,2026-09-21T18:34:33.504+09:00, 0.876E-01, 498.82622, 0.12184E+04
    5500,2026-09-21T18:34:41.124+09:00, 0.877E-01, 508.11110, 0.12325E+04
    5600,2026-09-21T18:34:48.294+09:00, 0.938E-01, 517.20481, 0.12461E+04
    5700,2026-09-21T18:34:57.136+09:00, 0.881E-01, 526.57381, 0.12621E+04
    5800,2026-09-21T18:35:11.373+09:00, 0.866E-01, 535.64384, 0.12869E+04
    5900,2026-09-21T18:35:28.007+09:00, 0.943E-01, 544.72322, 0.13147E+04
    6000,2026-09-21T18:35:45.498+09:00, 0.944E-01, 553.84813, 0.13447E+04
    6100,2026-09-21T18:36:03.193+09:00, 0.702E-01, 562.91318, 0.13740E+04
    6200,2026-09-21T18:36:13.768+09:00, 0.921E-01, 571.60508, 0.13916E+04
    6300,2026-09-21T18:36:20.793+09:00, 0.951E-01, 580.80385, 0.14055E+04
    6400,2026-09-21T18:36:27.708+09:00, 0.872E-01, 590.12886, 0.14191E+04
    6500,2026-09-21T18:36:34.445+09:00, 0.815E-01, 599.29330, 0.14324E+04
    6600,2026-09-21T18:36:41.224+09:00, 0.944E-01, 608.10889, 0.14457E+04
    6700,2026-09-21T18:36:47.743+09:00, 0.902E-01, 617.58754, 0.14585E+04
    6800,2026-09-21T18:36:54.471+09:00, 0.902E-01, 626.60453, 0.14717E+04
    6900,2026-09-21T18:37:01.469+09:00, 0.956E-01, 636.02219, 0.14854E+04
    7000,2026-09-21T18:37:08.505+09:00, 0.922E-01, 644.95769, 0.14992E+04
    7100,2026-09-21T18:37:15.410+09:00, 0.104E+00, 654.30558, 0.15128E+04
    7200,2026-09-21T18:37:22.202+09:00, 0.978E-01, 663.54046, 0.15261E+04
    7300,2026-09-21T18:37:28.578+09:00, 0.896E-01, 672.59437, 0.15387E+04
    7400,2026-09-21T18:37:34.975+09:00, 0.867E-01, 681.49614, 0.15514E+04
    7500,2026-09-21T18:37:41.269+09:00, 0.857E-01, 690.28527, 0.15639E+04
    7600,2026-09-21T18:37:47.611+09:00, 0.999E-01, 699.40296, 0.15765E+04
    7700,2026-09-21T18:37:53.750+09:00, 0.758E-01, 708.25984, 0.15887E+04
    7800,2026-09-21T18:38:00.161+09:00, 0.923E-01, 717.23501, 0.16013E+04
    7900,2026-09-21T18:38:06.545+09:00, 0.995E-01, 726.61306, 0.16139E+04
    8000,2026-09-21T18:38:12.755+09:00, 0.875E-01, 736.05098, 0.16262E+04
    8100,2026-09-21T18:38:18.977+09:00, 0.798E-01, 745.05907, 0.16386E+04
    8200,2026-09-21T18:38:25.367+09:00, 0.890E-01, 754.33666, 0.16511E+04
    8300,2026-09-21T18:38:31.240+09:00, 0.979E-01, 763.94814, 0.16628E+04
    8400,2026-09-21T18:38:37.175+09:00, 0.893E-01, 773.86807, 0.16746E+04
    8500,2026-09-21T18:38:43.209+09:00, 0.903E-01, 782.98083, 0.16866E+04
    8600,2026-09-21T18:38:49.109+09:00, 0.831E-01, 792.13396, 0.16984E+04
    8700,2026-09-21T18:38:55.018+09:00, 0.928E-01, 801.01832, 0.17102E+04
    8800,2026-09-21T18:39:00.901+09:00, 0.114E+00, 810.42464, 0.17219E+04
    8900,2026-09-21T18:39:06.770+09:00, 0.108E+00, 819.79285, 0.17336E+04
    9000,2026-09-21T18:39:12.635+09:00, 0.991E-01, 829.63734, 0.17453E+04
    9100,2026-09-21T18:39:18.406+09:00, 0.991E-01, 839.54819, 0.17568E+04
    9200,2026-09-21T18:39:24.152+09:00, 0.101E+00, 849.24983, 0.17682E+04
    9300,2026-09-21T18:39:30.032+09:00, 0.103E+00, 858.44510, 0.17799E+04
