s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4588772E-003, 8.0352919E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.4508419E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1974874E+000, 1.7804564E+001, 0.0000000E+000,-3.5359003E-001, 2.9195034E-001,-7.4316385E-003,-4.7279512E-003, 0.0000000E+000, 0.0000000E+000, 1.4471869E+001, 1.7730765E+001, 0.0000000E+000, 1.8568900E-003, 0.0000000E+000
 2.3949747E+000, 4.8985274E+002, 0.0000000E+000,-2.9202798E+001, 7.8909803E+000,-2.9833250E-001,-1.3349479E-002, 0.0000000E+000, 0.0000000E+000, 1.6758392E+002, 4.6822924E+002, 0.0000000E+000, 4.5914410E-003, 0.0000000E+000
 3.0555313E+000, 7.9070648E+002, 0.0000000E+000,-3.0585372E+002, 8.2980387E+000,-9.7906409E-001,-1.9300211E-002, 0.0000000E+000, 0.0000000E+000, 5.4510190E+002, 4.9215244E+002, 0.0000000E+000, 6.2528955E-003, 0.0000000E+000
 4.0173154E+000, 2.7545526E+002, 0.0000000E+000,-4.0024007E+001, 4.0587194E+000,-7.0669807E-001,-2.5228289E-002, 0.0000000E+000, 0.0000000E+000, 2.1350988E+002, 2.3875805E+002, 0.0000000E+000, 8.0307515E-003, 0.0000000E+000
 5.0712605E+000, 4.5431793E+002, 0.0000000E+000,-6.3936959E+001, 6.6086875E+000,-2.6675872E+000,-3.0906066E-002, 0.0000000E+000, 0.0000000E+000, 3.9077794E+002, 3.9429117E+002, 0.0000000E+000, 1.0006029E-002, 0.0000000E+000
 6.0720987E+000, 4.4139739E+002, 0.0000000E+000,-1.2535500E+002, 5.3050193E+000,-6.7886627E+000,-3.6391081E-002, 0.0000000E+000, 0.0000000E+000, 3.1687487E+002, 3.1452236E+002, 0.0000000E+000, 1.1884058E-002, 0.0000000E+000
 7.0667095E+000, 5.4237468E+002, 0.0000000E+000,-1.1072675E+002, 7.2143450E+000,-8.5215105E+000,-4.1309694E-002, 0.0000000E+000, 0.0000000E+000, 4.1412461E+002, 4.3029946E+002, 0.0000000E+000, 1.3526360E-002, 0.0000000E+000
 8.0925684E+000, 6.7428018E+002, 0.0000000E+000,-1.7050138E+002, 8.4265865E+000,-1.0673119E+001,-4.5611520E-002, 0.0000000E+000, 0.0000000E+000, 5.0084049E+002, 5.0148665E+002, 0.0000000E+000, 1.4993859E-002, 0.0000000E+000
 9.0844574E+000, 6.4450071E+002, 0.0000000E+000,-1.3666152E+002, 8.4511565E+000,-1.4521251E+001,-4.9364165E-002, 0.0000000E+000, 0.0000000E+000, 4.9781973E+002, 5.0171974E+002, 0.0000000E+000, 1.6285269E-002, 0.0000000E+000
 1.0076345E+001, 7.2896726E+002, 0.0000000E+000,-1.5143710E+002, 9.5470964E+000,-1.8200406E+001,-5.2302676E-002, 0.0000000E+000, 0.0000000E+000, 5.6276682E+002, 5.6882455E+002, 0.0000000E+000, 1.7391705E-002, 0.0000000E+000
 1.1068234E+001, 8.0147239E+002, 0.0000000E+000,-1.9759557E+002, 9.9296237E+000,-2.2631784E+001,-5.5004867E-002, 0.0000000E+000, 0.0000000E+000, 5.9124015E+002, 5.9111965E+002, 0.0000000E+000, 1.8346370E-002, 0.0000000E+000
 1.2060122E+001, 7.9458905E+002, 0.0000000E+000,-1.7346576E+002, 1.0152486E+001,-2.7406929E+001,-5.7290418E-002, 0.0000000E+000, 0.0000000E+000, 5.9884545E+002, 6.0381156E+002, 0.0000000E+000, 1.9163401E-002, 0.0000000E+000
 1.3052011E+001, 8.6273157E+002, 0.0000000E+000,-1.9336926E+002, 1.0896913E+001,-3.1707507E+001,-5.8445145E-002, 0.0000000E+000, 0.0000000E+000, 6.4399042E+002, 6.4849327E+002, 0.0000000E+000, 1.9857779E-002, 0.0000000E+000
 1.4043900E+001, 8.5720475E+002, 0.0000000E+000,-1.9624782E+002, 1.0697990E+001,-3.5990488E+001,-6.1055471E-002, 0.0000000E+000, 0.0000000E+000, 6.3733702E+002, 6.3560338E+002, 0.0000000E+000, 2.0444422E-002, 0.0000000E+000
 1.5035789E+001, 8.7828286E+002, 0.0000000E+000,-1.8417159E+002, 1.1171817E+001,-4.0121901E+001,-6.2813576E-002, 0.0000000E+000, 0.0000000E+000, 6.6200427E+002, 6.6509837E+002, 0.0000000E+000, 2.0937568E-002, 0.0000000E+000
 1.6027678E+001, 9.2542044E+002, 0.0000000E+000,-2.1021171E+002, 1.1458866E+001,-4.4298224E+001,-6.3035004E-002, 0.0000000E+000, 0.0000000E+000, 6.8177995E+002, 6.8230634E+002, 0.0000000E+000, 2.1350370E-002, 0.0000000E+000
 1.7019566E+001, 9.2630708E+002, 0.0000000E+000,-2.0859695E+002, 1.1450212E+001,-4.8350320E+001,-6.5036697E-002, 0.0000000E+000, 0.0000000E+000, 6.7976536E+002, 6.8074498E+002, 0.0000000E+000, 2.1694699E-002, 0.0000000E+000
 1.8011454E+001, 9.3043012E+002, 0.0000000E+000,-2.0050747E+002, 1.1590300E+001,-5.2021970E+001,-6.6085949E-002, 0.0000000E+000, 0.0000000E+000, 6.8732642E+002, 6.8942490E+002, 0.0000000E+000, 2.1981067E-002, 0.0000000E+000
 1.9003342E+001, 9.5784958E+002, 0.0000000E+000,-2.0901179E+002, 1.1854580E+001,-5.5203146E+001,-6.6828020E-002, 0.0000000E+000, 0.0000000E+000, 7.0519238E+002, 7.0542240E+002, 0.0000000E+000, 2.2218647E-002, 0.0000000E+000
 2.0060867E+001, 9.7032388E+002, 0.0000000E+000,-2.0384145E+002, 1.2096595E+001,-5.8792556E+001,-6.7851966E-002, 0.0000000E+000, 0.0000000E+000, 7.1889547E+002, 7.1971862E+002, 0.0000000E+000, 2.2420099E-002, 0.0000000E+000
 2.1048887E+001, 9.6198533E+002, 0.0000000E+000,-2.0738400E+002, 1.1829848E+001,-6.2281726E+001,-6.8314963E-002, 0.0000000E+000, 0.0000000E+000, 7.0568725E+002, 7.0408113E+002, 0.0000000E+000, 2.2586669E-002, 0.0000000E+000
 2.2088455E+001, 9.6780479E+002, 0.0000000E+000,-2.0703147E+002, 1.1856326E+001,-6.5542484E+001,-6.7974122E-002, 0.0000000E+000, 0.0000000E+000, 7.0687409E+002, 7.0701918E+002, 0.0000000E+000, 2.2722168E-002, 0.0000000E+000
 2.3033516E+001, 9.7425470E+002, 0.0000000E+000,-2.1707334E+002, 1.1413540E+001,-6.8750927E+001,-6.8531387E-002, 0.0000000E+000, 0.0000000E+000, 6.9810602E+002, 6.9977545E+002, 0.0000000E+000, 2.2831234E-002, 0.0000000E+000
 2.4073084E+001, 9.7875516E+002, 0.0000000E+000,-2.0906812E+002, 1.1014018E+001,-7.1957299E+001,-6.9146582E-002, 0.0000000E+000, 0.0000000E+000, 7.0939164E+002, 7.0867461E+002, 0.0000000E+000, 2.2920776E-002, 0.0000000E+000
 2.5018147E+001, 9.8387056E+002, 0.0000000E+000,-2.2065419E+002, 1.0106645E+001,-7.5478930E+001,-6.9219511E-002, 0.0000000E+000, 0.0000000E+000, 6.9746605E+002, 6.9777486E+002, 0.0000000E+000, 2.2994690E-002, 0.0000000E+000
 2.6057714E+001, 9.8547263E+002, 0.0000000E+000,-2.1810298E+002, 9.5640983E+000,-7.8531169E+001,-6.9274819E-002, 0.0000000E+000, 0.0000000E+000, 6.9802476E+002, 6.9833331E+002, 0.0000000E+000, 2.3055287E-002, 0.0000000E+000
 2.7002775E+001, 9.9363644E+002, 0.0000000E+000,-2.1787537E+002, 9.2634032E+000,-8.1192450E+001,-6.9361310E-002, 0.0000000E+000, 0.0000000E+000, 7.0290807E+002, 7.0376266E+002, 0.0000000E+000, 2.3105250E-002, 0.0000000E+000
 2.8042343E+001, 9.9618943E+002, 0.0000000E+000,-2.2139508E+002, 9.0461284E+000,-8.3474768E+001,-6.9798559E-002, 0.0000000E+000, 0.0000000E+000, 7.0074289E+002, 7.0029591E+002, 0.0000000E+000, 2.3146171E-002, 0.0000000E+000
 2.9081911E+001, 9.9569849E+002, 0.0000000E+000,-2.1830938E+002, 8.8160189E+000,-8.5767549E+001,-7.0472185E-002, 0.0000000E+000, 0.0000000E+000, 7.0015336E+002, 7.0036711E+002, 0.0000000E+000, 2.3181282E-002, 0.0000000E+000
 3.0026974E+001, 9.9389401E+002, 0.0000000E+000,-2.1313380E+002, 8.2396570E+000,-8.7851456E+001,-7.0981418E-002, 0.0000000E+000, 0.0000000E+000, 7.0086048E+002, 7.0107743E+002, 0.0000000E+000, 2.3208706E-002, 0.0000000E+000
 3.1066542E+001, 9.9441168E+002, 0.0000000E+000,-2.2011570E+002, 7.4876082E+000,-9.0090676E+001,-7.1214853E-002, 0.0000000E+000, 0.0000000E+000, 6.9268608E+002, 6.9162170E+002, 0.0000000E+000, 2.3231147E-002, 0.0000000E+000
 3.2011604E+001, 1.0040541E+003, 0.0000000E+000,-2.2949549E+002, 7.4115211E+000,-9.1967249E+001,-7.1430593E-002, 0.0000000E+000, 0.0000000E+000, 6.8873781E+002, 6.8993143E+002, 0.0000000E+000, 2.3249622E-002, 0.0000000E+000
 3.3018597E+001, 1.0049887E+003, 0.0000000E+000,-2.1977487E+002, 7.7495408E+000,-9.4170548E+001,-7.1351444E-002, 0.0000000E+000, 0.0000000E+000, 6.9891159E+002, 6.9872145E+002, 0.0000000E+000, 2.3264444E-002, 0.0000000E+000
 3.4017200E+001, 9.9321382E+002, 0.0000000E+000,-2.2536312E+002, 7.4362427E+000,-9.6819547E+001,-7.0922362E-002, 0.0000000E+000, 0.0000000E+000, 6.8011045E+002, 6.7839648E+002, 0.0000000E+000, 2.3277077E-002, 0.0000000E+000
 3.5032585E+001, 9.9065248E+002, 0.0000000E+000,-2.2603443E+002, 6.9832205E+000,-9.8734829E+001,-7.1643229E-002, 0.0000000E+000, 0.0000000E+000, 6.7288548E+002, 6.7279480E+002, 0.0000000E+000, 2.3287423E-002, 0.0000000E+000
 3.6047970E+001, 9.9373106E+002, 0.0000000E+000,-2.2288914E+002, 6.3949303E+000,-1.0075912E+002,-7.1399086E-002, 0.0000000E+000, 0.0000000E+000, 6.7472907E+002, 6.7640633E+002, 0.0000000E+000, 2.3295943E-002, 0.0000000E+000
 3.7063358E+001, 1.0088156E+003, 0.0000000E+000,-2.5677146E+002, 5.5350061E+000,-1.0217345E+002,-7.1465653E-002, 0.0000000E+000, 0.0000000E+000, 6.6055056E+002, 6.5533426E+002, 0.0000000E+000, 2.3302900E-002, 0.0000000E+000
 3.8019501E+001, 1.0007640E+003, 0.0000000E+000,-2.4711153E+002, 5.8480950E+000,-1.0489280E+002,-7.1253999E-002, 0.0000000E+000, 0.0000000E+000, 6.5072064E+002, 6.5453652E+002, 0.0000000E+000, 2.3308423E-002, 0.0000000E+000
 3.9008713E+001, 9.9365777E+002, 0.0000000E+000,-2.2657595E+002, 6.1841717E+000,-1.0756918E+002,-7.0869562E-002, 0.0000000E+000, 0.0000000E+000, 6.6410052E+002, 6.6562594E+002, 0.0000000E+000, 2.3312898E-002, 0.0000000E+000
 4.0075714E+001, 9.9749376E+002, 0.0000000E+000,-2.3708243E+002, 6.4631994E+000,-1.0884331E+002,-7.0074515E-002, 0.0000000E+000, 0.0000000E+000, 6.5847222E+002, 6.5796115E+002, 0.0000000E+000, 2.3316781E-002, 0.0000000E+000
 4.1017727E+001, 9.9716591E+002, 0.0000000E+000,-2.3574071E+002, 6.7557432E+000,-1.1066921E+002,-7.0984301E-002, 0.0000000E+000, 0.0000000E+000, 6.5860924E+002, 6.5744075E+002, 0.0000000E+000, 2.3319892E-002, 0.0000000E+000
