,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
       1,2026-09-21T00:14:37.532+09:00, 0.399E+00,   0.39916, 0.36283E+01
       2,2026-09-21T00:14:37.585+09:00, 0.399E+00,   0.79832, 0.37307E+01
       3,2026-09-21T00:14:37.660+09:00, 0.399E+00,   1.19749, 0.38774E+01
       4,2026-09-21T00:14:37.718+09:00, 0.399E+00,   1.59665, 0.39915E+01
       5,2026-09-21T00:14:37.775+09:00, 0.399E+00,   1.99581, 0.41015E+01
       6,2026-09-21T00:14:37.843+09:00, 0.399E+00,   2.39497, 0.42373E+01
       7,2026-09-21T00:14:37.911+09:00, 0.145E-01,   2.40946, 0.43719E+01
       8,2026-09-21T00:14:37.957+09:00, 0.159E-01,   2.42540, 0.44643E+01
       9,2026-09-21T00:14:38.020+09:00, 0.175E-01,   2.44292, 0.45879E+01
      10,2026-09-21T00:14:38.070+09:00, 0.193E-01,   2.46220, 0.46848E+01
      20,2026-09-21T00:14:38.610+09:00, 0.500E-01,   2.80022, 0.57557E+01
      30,2026-09-21T00:14:39.151+09:00, 0.130E+00,   3.67696, 0.68307E+01
      40,2026-09-21T00:14:39.764+09:00, 0.830E-01,   4.65611, 0.80459E+01
      50,2026-09-21T00:14:40.309+09:00, 0.100E+00,   5.52958, 0.91233E+01
      60,2026-09-21T00:14:40.868+09:00, 0.111E+00,   6.62466, 0.10230E+02
      70,2026-09-21T00:14:41.431+09:00, 0.992E-01,   7.69581, 0.11348E+02
      80,2026-09-21T00:14:41.974+09:00, 0.992E-01,   8.68770, 0.12425E+02
      90,2026-09-21T00:14:42.541+09:00, 0.992E-01,   9.67959, 0.13550E+02
     100,2026-09-21T00:14:43.111+09:00, 0.992E-01,  10.67148, 0.14675E+02
     200,2026-09-21T00:14:48.721+09:00, 0.859E-01,  20.40453, 0.25757E+02
     300,2026-09-21T00:14:54.261+09:00, 0.945E-01,  29.83796, 0.36763E+02
     400,2026-09-21T00:14:59.808+09:00, 0.824E-01,  38.84384, 0.47775E+02
     500,2026-09-21T00:15:05.473+09:00, 0.856E-01,  47.62510, 0.59000E+02
     600,2026-09-21T00:15:11.257+09:00, 0.952E-01,  56.35497, 0.70378E+02
     700,2026-09-21T00:15:16.966+09:00, 0.835E-01,  65.81601, 0.81720E+02
     800,2026-09-21T00:15:22.599+09:00, 0.827E-01,  74.70540, 0.92919E+02
     900,2026-09-21T00:15:28.303+09:00, 0.915E-01,  83.53101, 0.10425E+03
    1000,2026-09-21T00:15:34.053+09:00, 0.890E-01,  92.83285, 0.11568E+03
    1100,2026-09-21T00:15:40.149+09:00, 0.936E-01, 101.76689, 0.12757E+03
    1200,2026-09-21T00:15:46.010+09:00, 0.964E-01, 110.64964, 0.13923E+03
    1300,2026-09-21T00:15:51.943+09:00, 0.811E-01, 119.34714, 0.15103E+03
    1307,2026-09-21T00:15:52.352+09:00, 0.729E-01, 120.00000, 0.15184E+03
