time,id,x,y,angle,type,speed,pos,lane,slope
0.00,central119-busan-station-source-check,2077.61,3198.74,19.70,rescue,8.00,6.60,1355582554#0_3,0.00
1.00,central119-busan-station-source-check,2080.32,3206.30,19.70,rescue,8.00,14.60,1355582554#0_3,0.00
2.00,central119-busan-station-source-check,2083.02,3213.85,19.70,rescue,8.00,22.60,1355582554#0_3,0.00
3.00,central119-busan-station-source-check,2085.72,3221.40,19.70,rescue,8.00,30.60,1355582554#0_3,0.00
4.00,central119-busan-station-source-check,2088.55,3228.91,20.83,rescue,8.00,38.60,1355582554#0_3,0.00
5.00,central119-busan-station-source-check,2091.55,3236.36,21.94,rescue,8.00,46.60,1355582554#0_3,0.00
6.00,central119-busan-station-source-check,2094.55,3243.80,21.94,rescue,8.00,54.60,1355582554#0_3,0.00
7.00,central119-busan-station-source-check,2097.55,3251.24,21.94,rescue,8.00,62.60,1355582554#0_3,0.00
8.00,central119-busan-station-source-check,2100.69,3258.69,23.13,rescue,8.00,6.28,:12545678938_4_3,0.00
9.00,central119-busan-station-source-check,2103.88,3266.14,23.17,rescue,8.00,14.28,:12545678938_4_3,0.00
10.00,central119-busan-station-source-check,2107.15,3273.43,24.21,rescue,8.00,7.60,1355582554#1_3,0.00
11.00,central119-busan-station-source-check,2110.42,3280.71,24.21,rescue,8.00,15.60,1355582554#1_3,0.00
12.00,central119-busan-station-source-check,2113.70,3287.99,24.21,rescue,8.00,23.60,1355582554#1_3,0.00
13.00,central119-busan-station-source-check,2116.86,3295.31,23.16,rescue,8.00,31.60,1355582554#1_3,0.00
14.00,central119-busan-station-source-check,2119.69,3302.78,20.75,rescue,8.00,39.60,1355582554#1_3,0.00
15.00,central119-busan-station-source-check,2122.52,3310.24,20.75,rescue,8.00,47.60,1355582554#1_3,0.00
16.00,central119-busan-station-source-check,2125.35,3317.71,20.75,rescue,8.00,55.60,1355582554#1_3,0.00
17.00,central119-busan-station-source-check,2128.18,3325.17,20.75,rescue,8.00,63.60,1355582554#1_3,0.00
18.00,central119-busan-station-source-check,2131.00,3332.64,20.75,rescue,8.00,71.60,1355582554#1_3,0.00
19.00,central119-busan-station-source-check,2133.83,3340.10,20.75,rescue,8.00,79.60,1355582554#1_3,0.00
20.00,central119-busan-station-source-check,2136.66,3347.57,20.75,rescue,8.00,87.60,1355582554#1_3,0.00
21.00,central119-busan-station-source-check,2139.49,3355.03,20.75,rescue,8.00,95.60,1355582554#1_3,0.00
22.00,central119-busan-station-source-check,2142.32,3362.50,20.75,rescue,8.00,103.60,1355582554#1_3,0.00
23.00,central119-busan-station-source-check,2145.15,3369.96,20.75,rescue,8.00,111.60,1355582554#1_3,0.00
24.00,central119-busan-station-source-check,2147.97,3377.43,20.75,rescue,8.00,119.60,1355582554#1_3,0.00
25.00,central119-busan-station-source-check,2150.80,3384.89,20.75,rescue,8.00,127.60,1355582554#1_3,0.00
26.00,central119-busan-station-source-check,2153.63,3392.36,20.75,rescue,8.00,135.60,1355582554#1_3,0.00
27.00,central119-busan-station-source-check,2156.32,3399.80,19.86,rescue,8.00,7.92,:12545678940_4_3,0.00
28.00,central119-busan-station-source-check,2158.99,3407.27,19.60,rescue,8.00,1.76,1355582554#2_3,0.00
29.00,central119-busan-station-source-check,2161.58,3414.84,18.93,rescue,8.00,9.76,1355582554#2_3,0.00
30.00,central119-busan-station-source-check,2164.07,3422.37,18.15,rescue,8.00,6.43,1355582554#3_3,0.00
31.00,central119-busan-station-source-check,2166.56,3429.96,18.15,rescue,8.00,14.43,1355582554#3_3,0.00
32.00,central119-busan-station-source-check,2169.05,3437.56,18.15,rescue,8.00,22.43,1355582554#3_3,0.00
33.00,central119-busan-station-source-check,2171.54,3445.16,18.15,rescue,8.00,30.43,1355582554#3_3,0.00
34.00,central119-busan-station-source-check,2174.03,3452.75,18.15,rescue,8.00,38.43,1355582554#3_3,0.00
35.00,central119-busan-station-source-check,2176.52,3460.35,18.15,rescue,8.00,46.43,1355582554#3_3,0.00
36.00,central119-busan-station-source-check,2178.97,3467.96,17.73,rescue,8.00,54.43,1355582554#3_3,0.00
37.00,central119-busan-station-source-check,2181.21,3475.64,16.24,rescue,8.00,62.43,1355582554#3_3,0.00
38.00,central119-busan-station-source-check,2183.44,3483.31,16.24,rescue,8.00,70.43,1355582554#3_3,0.00
39.00,central119-busan-station-source-check,2185.68,3490.99,16.24,rescue,8.00,78.43,1355582554#3_3,0.00
40.00,central119-busan-station-source-check,2187.91,3498.67,16.24,rescue,8.00,86.43,1355582554#3_3,0.00
41.00,central119-busan-station-source-check,2190.15,3506.34,16.24,rescue,8.00,94.43,1355582554#3_3,0.00
42.00,central119-busan-station-source-check,2192.38,3514.02,16.24,rescue,8.00,102.43,1355582554#3_3,0.00
43.00,central119-busan-station-source-check,2194.62,3521.69,16.24,rescue,8.00,110.43,1355582554#3_3,0.00
44.00,central119-busan-station-source-check,2196.89,3529.36,16.59,rescue,8.00,118.43,1355582554#3_3,0.00
45.00,central119-busan-station-source-check,2199.23,3537.00,17.02,rescue,8.00,126.43,1355582554#3_3,0.00
46.00,central119-busan-station-source-check,2201.50,3544.62,16.46,rescue,8.00,2.27,:12545718116_4_3,0.00
47.00,central119-busan-station-source-check,2203.58,3552.18,15.40,rescue,8.00,10.27,:12545718116_4_3,0.00
48.00,central119-busan-station-source-check,2205.56,3559.86,14.22,rescue,8.00,4.24,1355585544#1_3,0.00
49.00,central119-busan-station-source-check,2207.45,3567.66,13.61,rescue,8.00,12.24,1355585544#1_3,0.00
50.00,central119-busan-station-source-check,2209.34,3575.45,13.61,rescue,8.00,20.24,1355585544#1_3,0.00
51.00,central119-busan-station-source-check,2211.22,3583.25,13.61,rescue,8.00,28.24,1355585544#1_3,0.00
52.00,central119-busan-station-source-check,2213.35,3590.98,15.80,rescue,8.00,36.24,1355585544#1_3,0.00
53.00,central119-busan-station-source-check,2215.76,3598.63,17.50,rescue,8.00,44.24,1355585544#1_3,0.00
54.00,central119-busan-station-source-check,2218.18,3606.28,17.50,rescue,8.00,52.24,1355585544#1_3,0.00
55.00,central119-busan-station-source-check,2220.59,3613.93,17.50,rescue,8.00,60.24,1355585544#1_3,0.00
56.00,central119-busan-station-source-check,2223.00,3621.58,17.50,rescue,8.00,68.24,1355585544#1_3,0.00
57.00,central119-busan-station-source-check,2225.41,3629.23,17.50,rescue,8.00,76.24,1355585544#1_3,0.00
58.00,central119-busan-station-source-check,2227.82,3636.88,17.50,rescue,8.00,84.24,1355585544#1_3,0.00
59.00,central119-busan-station-source-check,2230.24,3644.53,17.50,rescue,8.00,92.24,1355585544#1_3,0.00
60.00,central119-busan-station-source-check,2232.65,3652.18,17.50,rescue,8.00,100.24,1355585544#1_3,0.00
61.00,central119-busan-station-source-check,2235.06,3659.83,17.50,rescue,8.00,108.24,1355585544#1_3,0.00
62.00,central119-busan-station-source-check,2237.47,3667.48,17.50,rescue,8.00,116.24,1355585544#1_3,0.00
63.00,central119-busan-station-source-check,2239.90,3675.13,17.64,rescue,8.00,1.81,:12545718115_1_3,0.00
64.00,central119-busan-station-source-check,2242.26,3682.50,17.66,rescue,8.00,0.55,1355585544#3_3,0.00
65.00,central119-busan-station-source-check,2244.36,3690.28,15.19,rescue,8.00,4.08,:12545718113_1_3,0.00
66.00,central119-busan-station-source-check,2246.52,3698.09,15.53,rescue,8.00,0.05,1355585544#4_3,0.00
67.00,central119-busan-station-source-check,2248.39,3704.36,16.57,rescue,6.54,6.59,1355585544#4_3,0.00
68.00,central119-busan-station-source-check,2248.33,3710.56,359.71,rescue,6.40,6.40,:12545718112_7_0,0.00
69.00,central119-busan-station-source-check,2242.62,3713.19,295.31,rescue,6.40,4.25,:1769330960_5_0,0.00
70.00,central119-busan-station-source-check,2235.04,3715.75,288.67,rescue,8.00,12.25,:1769330960_5_0,0.00
71.00,central119-busan-station-source-check,2227.47,3718.31,288.66,rescue,8.00,1.44,797760104#0_0,0.00
72.00,central119-busan-station-source-check,2219.88,3720.87,288.63,rescue,8.00,9.44,797760104#0_0,0.00
73.00,central119-busan-station-source-check,2212.12,3722.78,283.41,rescue,8.00,17.44,797760104#0_0,0.00
74.00,central119-busan-station-source-check,2204.35,3724.68,283.78,rescue,8.00,2.83,:1769330975_1_0,0.00
75.00,central119-busan-station-source-check,2196.59,3726.63,284.15,rescue,8.00,10.83,:1769330975_1_0,0.00
76.00,central119-busan-station-source-check,2188.75,3728.19,280.79,rescue,8.00,18.83,:1769330975_1_0,0.00
77.00,central119-busan-station-source-check,2180.79,3728.99,275.45,rescue,8.00,7.29,797760104#2_0,0.00
78.00,central119-busan-station-source-check,2172.82,3729.72,275.15,rescue,8.00,15.29,797760104#2_0,0.00
79.00,central119-busan-station-source-check,2166.73,3730.94,281.11,rescue,6.30,2.69,:1771173811_2_0,0.00
80.00,central119-busan-station-source-check,2164.98,3736.63,341.89,rescue,6.30,0.61,-165572520#7_0,0.00
81.00,central119-busan-station-source-check,2165.67,3744.60,4.91,rescue,8.00,8.61,-165572520#7_0,0.00
82.00,central119-busan-station-source-check,2166.35,3752.57,4.91,rescue,8.00,16.61,-165572520#7_0,0.00
83.00,central119-busan-station-source-check,2167.20,3760.52,6.32,rescue,8.00,5.58,:1771173844_3_0,0.00
84.00,central119-busan-station-source-check,2168.76,3768.37,11.89,rescue,8.00,0.08,-165572520#6_0,0.00
85.00,central119-busan-station-source-check,2170.88,3776.07,15.77,rescue,8.00,8.08,-165572520#6_0,0.00
86.00,central119-busan-station-source-check,2173.69,3783.56,20.59,rescue,8.00,16.08,-165572520#6_0,0.00
87.00,central119-busan-station-source-check,2176.51,3791.05,20.59,rescue,8.00,24.08,-165572520#6_0,0.00
88.00,central119-busan-station-source-check,2179.32,3798.54,20.59,rescue,8.00,32.08,-165572520#6_0,0.00
89.00,central119-busan-station-source-check,2182.13,3806.03,20.59,rescue,8.00,40.08,-165572520#6_0,0.00
90.00,central119-busan-station-source-check,2184.95,3813.52,20.59,rescue,8.00,48.08,-165572520#6_0,0.00
91.00,central119-busan-station-source-check,2187.76,3821.01,20.59,rescue,8.00,56.08,-165572520#6_0,0.00
92.00,central119-busan-station-source-check,2190.58,3828.49,20.65,rescue,8.00,64.08,-165572520#6_0,0.00
93.00,central119-busan-station-source-check,2193.49,3835.95,21.31,rescue,8.00,72.08,-165572520#6_0,0.00
94.00,central119-busan-station-source-check,2196.40,3843.40,21.31,rescue,8.00,80.08,-165572520#6_0,0.00
95.00,central119-busan-station-source-check,2199.30,3850.85,21.31,rescue,8.00,88.08,-165572520#6_0,0.00
96.00,central119-busan-station-source-check,2202.21,3858.31,21.31,rescue,8.00,96.08,-165572520#6_0,0.00
97.00,central119-busan-station-source-check,2205.12,3865.76,21.31,rescue,8.00,104.08,-165572520#6_0,0.00
98.00,central119-busan-station-source-check,2208.02,3873.21,21.31,rescue,8.00,112.08,-165572520#6_0,0.00
99.00,central119-busan-station-source-check,2210.93,3880.67,21.31,rescue,8.00,120.08,-165572520#6_0,0.00
100.00,central119-busan-station-source-check,2213.82,3888.09,21.31,rescue,7.96,128.04,-165572520#6_0,0.00
101.00,central119-busan-station-source-check,2216.92,3895.46,23.17,rescue,8.00,4.43,:1771173833_9_0,0.00
102.00,central119-busan-station-source-check,2221.05,3902.29,31.94,rescue,8.00,12.43,:1771173833_9_0,0.00
103.00,central119-busan-station-source-check,2225.89,3908.66,37.49,rescue,8.00,5.80,-165572520#4_0,0.00
104.00,central119-busan-station-source-check,2230.78,3914.99,37.69,rescue,8.00,13.80,-165572520#4_0,0.00
105.00,central119-busan-station-source-check,2234.43,3922.10,26.16,rescue,8.00,21.80,-165572520#4_0,0.00
106.00,central119-busan-station-source-check,2237.96,3929.28,26.16,rescue,8.00,29.80,-165572520#4_0,0.00
107.00,central119-busan-station-source-check,2241.48,3936.46,26.16,rescue,8.00,37.80,-165572520#4_0,0.00
108.00,central119-busan-station-source-check,2245.01,3943.64,26.16,rescue,8.00,45.80,-165572520#4_0,0.00
109.00,central119-busan-station-source-check,2248.54,3950.83,26.16,rescue,8.00,53.80,-165572520#4_0,0.00
110.00,central119-busan-station-source-check,2252.07,3958.01,26.16,rescue,8.00,61.80,-165572520#4_0,0.00
111.00,central119-busan-station-source-check,2255.60,3965.19,26.16,rescue,8.00,69.80,-165572520#4_0,0.00
112.00,central119-busan-station-source-check,2259.12,3972.37,26.16,rescue,8.00,77.80,-165572520#4_0,0.00
113.00,central119-busan-station-source-check,2262.65,3979.55,26.16,rescue,8.00,85.80,-165572520#4_0,0.00
114.00,central119-busan-station-source-check,2266.18,3986.73,26.16,rescue,8.00,93.80,-165572520#4_0,0.00
115.00,central119-busan-station-source-check,2269.71,3993.91,26.16,rescue,8.00,101.80,-165572520#4_0,0.00
116.00,central119-busan-station-source-check,2273.29,4001.06,26.73,rescue,8.00,4.02,:1771191360_3_0,0.00
117.00,central119-busan-station-source-check,2276.93,4008.18,27.08,rescue,8.00,12.02,:1771191360_3_0,0.00
118.00,central119-busan-station-source-check,2280.66,4015.26,27.91,rescue,8.00,5.54,-165572520#3_0,0.00
119.00,central119-busan-station-source-check,2284.49,4022.28,28.78,rescue,8.00,13.54,-165572520#3_0,0.00
120.00,central119-busan-station-source-check,2288.38,4029.27,29.12,rescue,8.00,21.54,-165572520#3_0,0.00
121.00,central119-busan-station-source-check,2291.89,4035.56,29.12,rescue,7.21,28.76,-165572520#3_0,0.00
122.00,central119-busan-station-source-check,2295.78,4042.55,29.08,rescue,8.00,5.19,:1771191351_9_0,0.00
123.00,central119-busan-station-source-check,2299.67,4049.55,29.07,rescue,8.00,13.19,:1771191351_9_0,0.00
124.00,central119-busan-station-source-check,2303.55,4056.54,29.05,rescue,8.00,6.48,-165572520#2_0,0.00
125.00,central119-busan-station-source-check,2307.44,4063.54,29.05,rescue,8.00,14.48,-165572520#2_0,0.00
126.00,central119-busan-station-source-check,2311.32,4070.53,29.05,rescue,8.00,22.48,-165572520#2_0,0.00
127.00,central119-busan-station-source-check,2315.93,4077.06,36.60,rescue,8.00,30.48,-165572520#2_0,0.00
128.00,central119-busan-station-source-check,2320.73,4083.45,36.95,rescue,8.00,38.48,-165572520#2_0,0.00
129.00,central119-busan-station-source-check,2325.54,4089.84,36.95,rescue,8.00,46.48,-165572520#2_0,0.00
130.00,central119-busan-station-source-check,2330.35,4096.24,36.95,rescue,8.00,54.48,-165572520#2_0,0.00
131.00,central119-busan-station-source-check,2335.16,4102.63,36.95,rescue,8.00,62.48,-165572520#2_0,0.00
132.00,central119-busan-station-source-check,2340.01,4108.99,37.36,rescue,8.00,4.26,:1771191353_9_0,0.00
133.00,central119-busan-station-source-check,2344.89,4115.34,37.58,rescue,8.00,12.26,:1771191353_9_0,0.00
134.00,central119-busan-station-source-check,2349.81,4121.64,38.09,rescue,8.00,5.64,-165572520#1_0,0.00
135.00,central119-busan-station-source-check,2354.76,4127.93,38.17,rescue,8.00,13.64,-165572520#1_0,0.00
136.00,central119-busan-station-source-check,2359.70,4134.22,38.17,rescue,8.00,21.64,-165572520#1_0,0.00
137.00,central119-busan-station-source-check,2364.64,4140.50,38.17,rescue,8.00,29.64,-165572520#1_0,0.00
138.00,central119-busan-station-source-check,2368.40,4145.29,38.17,rescue,6.09,35.73,-165572520#1_0,0.00
139.00,central119-busan-station-source-check,2373.19,4151.70,36.39,rescue,8.00,6.31,:1771191343_9_0,0.00
140.00,central119-busan-station-source-check,2377.92,4158.14,36.33,rescue,8.00,14.31,:1771191343_9_0,0.00
141.00,central119-busan-station-source-check,2382.48,4164.72,34.44,rescue,8.00,6.96,-165572520#0_0,0.00
142.00,central119-busan-station-source-check,2387.00,4171.32,34.44,rescue,8.00,14.96,-165572520#0_0,0.00
143.00,central119-busan-station-source-check,2391.52,4177.91,34.44,rescue,8.00,22.96,-165572520#0_0,0.00
144.00,central119-busan-station-source-check,2396.05,4184.51,34.44,rescue,8.00,30.96,-165572520#0_0,0.00
145.00,central119-busan-station-source-check,2400.57,4191.11,34.44,rescue,8.00,38.96,-165572520#0_0,0.00
146.00,central119-busan-station-source-check,2405.10,4197.71,34.44,rescue,8.00,46.96,-165572520#0_0,0.00
147.00,central119-busan-station-source-check,2409.62,4204.31,34.44,rescue,8.00,54.96,-165572520#0_0,0.00
148.00,central119-busan-station-source-check,2414.25,4210.83,35.59,rescue,8.00,62.96,-165572520#0_0,0.00
149.00,central119-busan-station-source-check,2418.98,4217.29,36.17,rescue,8.00,70.96,-165572520#0_0,0.00
150.00,central119-busan-station-source-check,2423.70,4223.75,36.17,rescue,8.00,78.96,-165572520#0_0,0.00
